home_win_rate,home_draw_rate,home_goals_scored_avg,home_goals_conceded_avg,home_clean_sheet_rate,home_goal_diff_avg,home_form_last5,away_win_rate,away_draw_rate,away_goals_scored_avg,away_goals_conceded_avg,away_clean_sheet_rate,away_goal_diff_avg,away_form_last5,diff_win_rate,diff_goals_avg,h2h_home_wins,h2h_away_wins,h2h_draws,home_ranking,away_ranking,ranking_diff,is_group_stage,result,home_team,away_team,date
0.3,0.55,0.75,0.5,0.65,0.25,0.5333333333333333,0.3,0.2,0.8,1.0,0.25,-0.2,0.06666666666666667,0.0,-0.050000000000000044,3,4,0,60,38,22,0,1,Bahrain,Jordan,2015-01-04
0.55,0.25,1.65,0.8,0.5,0.85,0.4666666666666667,0.2,0.4,0.75,1.2,0.3,-0.45,0.2,0.35000000000000003,0.8999999999999999,4,0,1,20,33,-13,0,1,Iran,Iraq,2015-01-04
0.35,0.05,1.0,1.55,0.2,-0.55,0.4,0.35,0.25,1.15,1.45,0.35,-0.3,0.6,0.0,-0.1499999999999999,1,2,2,21,34,-13,0,1,South Korea,Saudi Arabia,2015-01-04
0.5,0.35,1.4,0.85,0.5,0.55,0.7333333333333333,0.4,0.25,1.4,1.15,0.35,0.25,0.7333333333333333,0.09999999999999998,0.0,3,3,3,43,60,-17,0,1,South Africa,Zambia,2015-01-04
0.45,0.3,1.25,1.0,0.6,0.25,0.7333333333333333,0.3,0.35,1.2,0.9,0.45,0.3,0.6,0.15000000000000002,0.050000000000000044,5,0,2,60,28,32,0,0,Cameroon,Congo DR,2015-01-07
0.25,0.15,1.25,2.05,0.3,-0.8,0.26666666666666666,0.3,0.4,1.15,1.4,0.3,-0.25,0.4,-0.04999999999999999,0.10000000000000009,1,2,1,22,60,-38,1,1,Australia,Kuwait,2015-01-09
0.35,0.45,1.2,1.0,0.35,0.2,0.6666666666666666,0.25,0.45,1.0,0.9,0.3,0.1,0.6,0.09999999999999998,0.19999999999999996,1,0,0,30,60,-30,0,1,Senegal,Gabon,2015-01-09
0.45,0.3,1.3,1.05,0.55,0.25,0.6,0.5,0.35,1.35,0.8,0.55,0.55,0.7333333333333333,-0.04999999999999999,-0.050000000000000044,0,1,0,60,43,17,0,0,Cameroon,South Africa,2015-01-10
0.4,0.25,1.1,1.05,0.35,0.05,0.6,0.35,0.2,0.9,1.3,0.4,-0.4,0.4666666666666667,0.050000000000000044,0.20000000000000007,0,0,0,48,60,-12,0,1,Cape Verde Islands,Congo,2015-01-10
0.4,0.05,1.05,1.45,0.25,-0.4,0.6,0.3,0.35,1.05,1.1,0.5,-0.05,0.26666666666666666,0.10000000000000003,0.0,0,0,0,21,60,-39,1,1,South Korea,Oman,2015-01-10
0.35,0.25,1.15,1.5,0.35,-0.35,0.4,0.45,0.45,1.75,0.95,0.45,0.8,0.6,-0.10000000000000003,-0.6000000000000001,2,0,1,34,60,-26,1,2,Saudi Arabia,China PR,2015-01-10
0.5,0.3,1.45,0.65,0.45,0.8,0.8666666666666667,0.55,0.25,2.15,0.9,0.4,1.25,0.4666666666666667,-0.050000000000000044,-0.7,2,0,2,39,60,-21,1,1,Uzbekistan,North Korea,2015-01-10
0.55,0.25,1.6,0.75,0.55,0.85,0.4666666666666667,0.35,0.55,0.8,0.45,0.7,0.35,0.5333333333333333,0.20000000000000007,0.8,3,2,3,20,60,-40,1,1,Iran,Bahrain,2015-01-11
0.4,0.3,1.45,1.1,0.35,0.35,0.5333333333333333,0.35,0.3,1.7,1.7,0.05,0.0,0.3333333333333333,0.050000000000000044,-0.25,1,2,0,60,35,25,0,2,Nigeria,Ivory Coast,2015-01-11
0.45,0.35,1.2,1.0,0.45,0.2,0.7333333333333333,0.7,0.1,1.85,0.95,0.4,0.9,0.8,-0.24999999999999994,-0.6500000000000001,1,1,0,31,32,-1,0,0,Tunisia,Algeria,2015-01-11
0.5,0.35,1.8,0.85,0.65,0.95,0.6666666666666666,0.55,0.4,1.75,0.55,0.6,1.2,0.7333333333333333,-0.050000000000000044,0.050000000000000044,3,0,1,60,37,23,1,1,United Arab Emirates,Qatar,2015-01-11
0.5,0.15,1.9,1.65,0.25,0.25,0.6666666666666666,0.6,0.15,1.5,0.8,0.6,0.7,0.4666666666666667,-0.09999999999999998,0.3999999999999999,0,0,0,15,60,-45,1,1,Japan,Palestine,2015-01-12
0.3,0.15,0.8,1.05,0.2,-0.25,0.0,0.2,0.4,0.75,1.2,0.3,-0.45,0.13333333333333333,0.09999999999999998,0.050000000000000044,3,5,5,38,33,5,1,2,Jordan,Iraq,2015-01-12
0.25,0.15,1.25,2.1,0.25,-0.85,0.4666666666666667,0.25,0.35,1.0,1.15,0.45,-0.15,0.06666666666666667,0.0,0.25,3,1,3,22,60,-38,1,1,Australia,Oman,2015-01-13
0.3,0.35,1.2,1.6,0.25,-0.4,0.3333333333333333,0.45,0.05,1.1,1.35,0.3,-0.25,0.6,-0.15000000000000002,0.09999999999999987,0,3,1,60,21,39,1,2,Kuwait,South Korea,2015-01-13
